Puertas,Kilómetros,Antigüedad,Cilindrada,Transmisión_Manual,vendedor_particular,squared_error,Marca,Modelo,combustible
5.0,440000.0,5.0,3.0,0.0,0.0,1759459051.133789,BMW,X5,Nafta
5.0,520000.0,4.0,2.0,0.0,0.0,1727932398.165039,Marca_Otros,Evoque,Otros
5.0,790000.0,5.0,3.0,0.0,0.0,1721726102.3476562,Audi,Q8,Nafta
5.0,2100000.0,7.0,3.0,0.0,1.0,1670178737.0947876,Mercedes-Benz,Clase GLE,Nafta
5.0,770000.0,5.0,3.0,0.0,0.0,1668876967.636963,Audi,Q8,Nafta
5.0,0.0,0.0,2.0,0.0,0.0,1624266317.2851562,Mercedes-Benz,Clase GLC,Nafta
5.0,800000.0,11.0,6.4,0.0,0.0,1621150690.4846191,Jeep,Grand Cherokee,Nafta
5.0,53000.0,6.0,4.4,0.0,0.0,1576926912.6343384,BMW,X6,Nafta
5.0,53000.0,6.0,4.4,0.0,0.0,1576926912.6343384,BMW,X6,Nafta
5.0,1250000.0,12.0,3.0,0.0,0.0,1569165010.9726562,Audi,Q7,Nafta
5.0,790000.0,11.0,6.4,0.0,1.0,1568059145.371643,Jeep,Grand Cherokee,Nafta
5.0,700000.0,14.0,4.4,0.0,0.0,1561860657.6465454,BMW,X6,Nafta
5.0,700000.0,14.0,4.4,0.0,0.0,1561860657.6465454,BMW,X6,Nafta
5.0,850000.0,8.0,3.0,1.0,0.0,1556922049.9282837,Marca_Otros,Macan,Nafta
5.0,420000.0,4.0,2.0,0.0,1.0,1530891561.183838,Mercedes-Benz,Clase GLC,Nafta
5.0,760000.0,7.0,2.0,1.0,1.0,1526167310.9897614,Mercedes-Benz,Clase GLA,Nafta
5.0,50000.0,3.0,2.0,0.0,1.0,1501769577.451416,Mercedes-Benz,Clase GLC,Nafta
5.0,600000.0,8.0,3.0,0.0,0.0,1486260318.2521973,Audi,Q5,Nafta
5.0,260000.0,16.0,2.4,0.0,0.0,1478424827.8670843,Toyota,RAV4,Nafta
3.0,0.0,0.0,3.6,0.0,0.0,1450736807.9155884,Jeep,Wrangler,Nafta
5.0,967650.0,13.0,4.4,0.0,1.0,1429079803.810791,BMW,X5,Nafta
5.0,820000.0,5.0,3.0,0.0,0.0,1402980028.140625,Audi,Q8,Nafta
5.0,800000.0,12.0,6.4,0.0,1.0,1397815225.2129517,Jeep,Grand Cherokee,Nafta
5.0,1067000.0,14.0,6.3,0.0,1.0,1387763890.1193848,Mercedes-Benz,Clase ML,Nafta
5.0,8800.0,0.0,1.8,0.0,0.0,1379563275.020279,Ford,Territory,Nafta
5.0,893100.0,4.0,4.0,0.0,0.0,1376122751.79795,Toyota,Land Cruiser,Nafta
5.0,0.0,0.0,2.0,0.0,0.0,1368552567.8146973,BMW,X4,Nafta
5.0,610000.0,4.0,3.0,0.0,0.0,1348122025.3603516,Audi,Q8,Nafta
5.0,0.0,0.0,2.0,0.0,0.0,1346318916.7978516,Audi,q5 sportback,Nafta
5.0,1004000.0,13.0,3.0,0.0,0.0,1346011063.7505493,BMW,X1,Nafta
5.0,1004000.0,13.0,3.0,0.0,0.0,1346011063.7505493,BMW,X1,Nafta
3.0,0.0,0.0,3.6,0.0,0.0,1302382651.6655884,Jeep,Wrangler,Nafta
5.0,235000.0,14.0,2.4,0.0,0.0,1291965519.7561035,Jeep,Compass,Nafta
5.0,0.0,0.0,3.6,0.0,0.0,1290292422.9104004,Jeep,Wrangler,Nafta
5.0,5000.0,0.0,2.8,0.0,0.0,1274757206.1914673,Toyota,SW4,Diésel
5.0,0.0,0.0,2.0,0.0,0.0,1273934479.2978516,Audi,q5 sportback,Nafta
5.0,1700000.0,16.0,4.8,0.0,1.0,1263397318.0279694,BMW,X5,Nafta
5.0,1090000.0,15.0,3.2,0.0,1.0,1251931257.5979004,Audi,Q5,Nafta
5.0,1050000.0,15.0,5.0,0.0,0.0,1247333531.965088,Marca_Otros,Range Rover Sport,Nafta
5.0,1050000.0,15.0,5.0,0.0,0.0,1247333531.965088,Marca_Otros,Range Rover Sport,Nafta
5.0,1200000.0,15.0,3.0,0.0,0.0,1245582338.4350739,BMW,X6,Nafta
