Puertas,Kilómetros,Precio_usd,Antigüedad,Cilindrada,Transmisión_Manual,vendedor_particular,combustible_Diésel,combustible_Nafta,combustible_Otros
5.0,0.0,41219.648009719385,0.0,1.8,0.0,0.0,0.0,1.0,0.0
5.0,0.0,33277.08688389046,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,1740000.0,16900.0,12.0,2.4,0.0,0.0,0.0,1.0,0.0
5.0,1120000.0,13700.0,9.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,1880000.0,20000.0,17.0,3.0,1.0,1.0,1.0,0.0,0.0
5.0,0.0,211000.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
5.0,740000.0,23000.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,585000.0,24500.0,7.0,1.8,0.0,0.0,0.0,1.0,0.0
5.0,0.0,29529.385957511433,0.0,1.3,0.0,0.0,0.0,1.0,0.0
5.0,0.0,47322.95023876618,0.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,800000.0,87000.0,8.0,6.4,0.0,1.0,0.0,1.0,0.0
5.0,1170000.0,14900.0,27.0,5.2,1.0,1.0,0.0,1.0,0.0
5.0,0.0,23538.885982822336,1.0,1.8,1.0,0.0,0.0,1.0,0.0
5.0,0.0,44900.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0
5.0,870000.0,16300.0,7.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,700000.0,17548.89222617822,6.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,1790000.0,13000.0,9.0,1.8,0.0,1.0,0.0,1.0,0.0
5.0,980000.0,13000.0,12.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,300000.0,20333.09147360073,3.0,1.5,1.0,0.0,0.0,1.0,0.0
5.0,490000.0,26998.295732581882,3.0,1.8,0.0,0.0,0.0,1.0,0.0
5.0,0.0,23066.668916524646,0.0,1.6,0.0,0.0,0.0,1.0,0.0
5.0,320000.0,26913.92605841756,4.0,1.6,0.0,0.0,0.0,1.0,0.0
5.0,1475000.0,27900.0,9.0,3.0,0.0,1.0,0.0,1.0,0.0
5.0,600000.0,35900.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0
5.0,560000.0,24382.83583348801,5.0,2.4,1.0,0.0,0.0,1.0,0.0
5.0,1768000.0,11000.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0
5.0,1300000.0,28000.0,8.0,1.4,0.0,0.0,0.0,1.0,0.0
5.0,0.0,185000.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
5.0,600000.0,21500.0,7.0,1.8,0.0,0.0,0.0,1.0,0.0
5.0,558000.0,34591.566407370534,6.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,29107.53758668984,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,1070000.0,34000.0,11.0,2.2,0.0,0.0,1.0,0.0,0.0
5.0,540000.0,14764.692978755716,7.0,1.5,1.0,1.0,0.0,1.0,0.0
5.0,1200000.0,16452.086462042083,8.0,1.8,0.0,0.0,0.0,1.0,0.0
5.0,325000.0,39653.66248755547,4.0,2.5,0.0,0.0,0.0,1.0,0.0
5.0,0.0,24467.20466395559,0.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,440000.0,35857.11151983531,2.0,1.8,0.0,0.0,0.0,0.0,1.0
5.0,2100000.0,13920.996237112533,12.0,2.4,0.0,1.0,0.0,1.0,0.0
5.0,1705000.0,15000.0,18.0,3.0,1.0,1.0,1.0,0.0,0.0
5.0,1100000.0,29000.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,790000.0,42000.0,13.0,3.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,34591.566407370534,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,1146660.0,27420.144103403472,7.0,2.0,0.0,0.0,1.0,0.0,0.0
5.0,230000.0,31500.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,1250000.0,28000.0,8.0,2.2,0.0,1.0,1.0,0.0,0.0
5.0,1880000.0,18000.0,24.0,2.5,1.0,1.0,1.0,0.0,0.0
5.0,1210000.0,14174.105259605487,9.0,1.6,1.0,0.0,0.0,1.0,0.0
